awg_areacalc_run_dtg,awg_areacalc_forecast_dtg,awg_element_id,awg_areacalc_val
"2018-01-15 00:00:00","2018-01-16 00:00:00",tt,6.9
"2018-01-15 00:00:00","2018-01-16 06:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-16 12:00:00",tt,4.9
"2018-01-15 00:00:00","2018-01-16 18:00:00",tt,4.2
"2018-01-15 00:00:00","2018-01-17 00:00:00",tt,3.7
"2018-01-15 00:00:00","2018-01-17 06:00:00",tt,3.7
"2018-01-15 00:00:00","2018-01-17 12:00:00",tt,3.8
"2018-01-15 00:00:00","2018-01-17 18:00:00",tt,4.2
"2018-01-15 00:00:00","2018-01-18 00:00:00",tt,5.3
"2018-01-15 00:00:00","2018-01-18 06:00:00",tt,6.6
"2018-01-15 00:00:00","2018-01-18 12:00:00",tt,6.9
"2018-01-15 00:00:00","2018-01-18 18:00:00",tt,6.8
"2018-01-15 00:00:00","2018-01-19 00:00:00",tt,5.6
"2018-01-15 00:00:00","2018-01-19 06:00:00",tt,3.8
"2018-01-15 00:00:00","2018-01-19 12:00:00",tt,3.2
"2018-01-15 00:00:00","2018-01-19 18:00:00",tt,3.0
"2018-01-15 00:00:00","2018-01-20 00:00:00",tt,2.6
"2018-01-15 00:00:00","2018-01-20 06:00:00",tt,2.5
"2018-01-15 00:00:00","2018-01-20 12:00:00",tt,2.1
"2018-01-15 00:00:00","2018-01-20 18:00:00",tt,1.5
"2018-01-15 00:00:00","2018-01-21 00:00:00",tt,0.7
"2018-01-15 00:00:00","2018-01-21 06:00:00",tt,-0.3
"2018-01-15 00:00:00","2018-01-21 12:00:00",tt,-0.2
"2018-01-15 00:00:00","2018-01-21 18:00:00",tt,0.6
"2018-01-15 00:00:00","2018-01-22 00:00:00",tt,2.7
"2018-01-15 00:00:00","2018-01-22 06:00:00",tt,4.9
"2018-01-15 00:00:00","2018-01-22 12:00:00",tt,5.5
"2018-01-15 00:00:00","2018-01-22 18:00:00",tt,5.2
"2018-01-15 00:00:00","2018-01-23 00:00:00",tt,4.2
"2018-01-15 00:00:00","2018-01-23 06:00:00",tt,3.7
"2018-01-15 00:00:00","2018-01-23 12:00:00",tt,4.0
"2018-01-15 00:00:00","2018-01-23 18:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-24 00:00:00",tt,7.5
"2018-01-15 00:00:00","2018-01-24 06:00:00",tt,8.4
"2018-01-15 00:00:00","2018-01-24 12:00:00",tt,8.6
"2018-01-15 00:00:00","2018-01-24 18:00:00",tt,7.8
"2018-01-15 00:00:00","2018-01-25 00:00:00",tt,6.8
"2018-01-15 00:00:00","2018-01-25 06:00:00",tt,6.0
"2018-01-15 00:00:00","2018-01-25 12:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-25 18:00:00",tt,5.6
"2018-01-15 00:00:00","2018-01-26 00:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-26 06:00:00",tt,6.5
"2018-01-15 00:00:00","2018-01-26 12:00:00",tt,6.8
"2018-01-15 00:00:00","2018-01-26 18:00:00",tt,7.1
"2018-01-15 00:00:00","2018-01-27 00:00:00",tt,7.8
"2018-01-15 00:00:00","2018-01-27 06:00:00",tt,8.5
"2018-01-15 00:00:00","2018-01-27 12:00:00",tt,9.1
"2018-01-15 00:00:00","2018-01-27 18:00:00",tt,10.0
"2018-01-15 00:00:00","2018-01-28 00:00:00",tt,10.4
"2018-01-15 00:00:00","2018-01-28 06:00:00",tt,10.4
"2018-01-15 00:00:00","2018-01-28 12:00:00",tt,9.6
"2018-01-15 00:00:00","2018-01-28 18:00:00",tt,8.5
"2018-01-15 00:00:00","2018-01-29 00:00:00",tt,7.2
"2018-01-15 00:00:00","2018-01-29 06:00:00",tt,5.9
"2018-01-15 00:00:00","2018-01-29 12:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-29 18:00:00",tt,5.9
"2018-01-15 00:00:00","2018-01-30 00:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-30 06:00:00",tt,5.8
"2018-01-15 00:00:00","2018-01-30 12:00:00",tt,5.2
"2018-01-15 00:00:00","2018-01-30 18:00:00",tt,4.8
